,AccX,AccY,AccZ,GyoX,GyoY,GyoZ,time,isLeftRoll,isWalk
213,2.19,-2.39,1.8,63.11,221.21,183.68,0 days 00:00:38.452000000,1,1
214,0.07,-3.02,2.48,-52.05,113.34,253.57,0 days 00:00:39.897000000,1,1
215,-1.45,-3.49,1.85,-138.67,44.14,158.89,0 days 00:00:39.927000000,1,1
216,-1.46,-4.71,0.46,-91.88,-34.37,34.05,0 days 00:00:39.961000000,1,1
217,-1.12,-3.85,-0.0,-17.34,9.86,-4.38,0 days 00:00:39.993000000,1,1
218,-1.51,-3.63,0.05,10.67,-1.94,10.12,0 days 00:00:40.022000000,0,1
219,-1.56,-3.61,-0.06,-16.89,-38.17,-19.31,0 days 00:00:40.055000000,0,1
220,-1.29,-4.12,0.22,-15.01,-33.59,-32.31,0 days 00:00:40.088000000,0,1
221,-1.32,-3.76,0.57,-27.16,-31.04,-18.66,0 days 00:00:40.124000000,0,1
222,-1.06,-3.54,0.55,1.39,-25.6,-20.44,0 days 00:00:40.168000000,0,1
223,-1.17,-3.77,0.73,15.53,5.62,-25.8,0 days 00:00:40.213000000,0,1
224,-1.22,-4.41,0.34,-2.67,18.26,-19.4,0 days 00:00:41.785000000,0,1
