,AccX,AccY,AccZ,GyoX,GyoY,GyoZ,time,isRightRoll,isWalk
133,-1.99,-3.21,0.67,63.88,30.43,1.88,0 days 00:00:24.206000000,1,1
134,-1.43,-3.54,0.83,14.05,16.56,-35.42,0 days 00:00:24.218000000,1,1
135,-1.34,-3.31,0.72,8.49,17.04,-35.76,0 days 00:00:24.700000000,0,1
136,-0.74,-4.17,0.55,14.66,43.05,-64.23,0 days 00:00:24.717000000,0,1
137,-0.8,-3.84,0.07,15.8,25.53,-43.3,0 days 00:00:24.730000000,0,1
138,-0.97,-3.7,0.1,12.55,-9.66,-20.67,0 days 00:00:25.217000000,0,1
139,-0.82,-3.64,0.09,10.08,-32.61,-41.05,0 days 00:00:25.228000000,0,1
140,-0.47,-3.86,0.25,7.97,-46.69,-76.43,0 days 00:00:25.240000000,0,1
141,0.12,-3.67,0.85,8.73,-38.69,-59.31,0 days 00:00:25.750000000,0,1
142,-0.07,-3.54,0.84,27.95,-39.05,-13.04,0 days 00:00:25.762000000,0,1
143,0.43,-3.64,1.01,-6.41,-7.54,39.51,0 days 00:00:25.773000000,0,1
144,0.09,-3.91,0.75,-21.27,10.7,-13.1,0 days 00:00:26.300000000,0,1
145,0.08,-3.92,0.27,-16.29,34.24,-22.26,0 days 00:00:26.312000000,0,1
146,0.19,-4.02,0.09,10.76,13.59,21.82,0 days 00:00:26.324000000,0,1
147,0.58,-3.74,0.32,22.17,-11.56,10.29,0 days 00:00:26.896000000,0,1
148,0.43,-4.07,0.4,17.19,-60.5,101.1,0 days 00:00:26.909000000,1,1
149,-0.52,-4.14,0.63,-1.44,-31.05,169.68,0 days 00:00:26.922000000,1,1
150,-2.47,-3.47,0.64,81.1,13.18,178.78,0 days 00:00:27.602000000,1,1
151,-2.39,-3.06,0.88,151.36,84.03,-79.25,0 days 00:00:27.613000000,1,1
152,-1.87,-3.23,2.1,211.15,130.34,-170.05,0 days 00:00:27.628000000,1,1
153,-1.59,-3.27,2.25,93.11,35.51,-255.11,0 days 00:00:27.639000000,1,1
154,0.23,-2.55,2.49,-25.68,-53.3,-292.15,0 days 00:00:28.438000000,1,1
155,1.93,-2.82,1.57,-75.24,-176.44,-145.33,0 days 00:00:28.451000000,1,1
156,2.52,-2.76,-0.2,-103.91,-288.9,-33.13,0 days 00:00:28.465000000,1,1
157,2.61,-3.18,-1.57,-3.19,-252.56,110.98,0 days 00:00:28.478000000,1,1
158,1.29,-3.73,-1.4,84.92,-139.42,263.13,0 days 00:00:28.491000000,1,1
159,-0.59,-3.96,-0.16,195.47,107.71,111.74,0 days 00:00:29.293000000,1,1
