,AccX,AccY,AccZ,GyoX,GyoY,GyoZ,time,isRightRoll,isWalk
83,2.15,-2.93,1.3,-87.97,-135.34,-23.19,0 days 00:00:14.797000000,1,0
84,2.36,-3.33,-0.06,-88.99,-202.63,83.69,0 days 00:00:15.040000000,1,0
85,1.81,-3.73,-0.74,14.44,-56.06,131.65,0 days 00:00:15.233000000,1,0
86,0.74,-3.84,-0.34,90.84,-19.66,151.97,0 days 00:00:15.434000000,1,0
87,-0.34,-3.73,0.3,53.88,26.32,38.78,0 days 00:00:15.456000000,1,0
88,-0.29,-3.7,0.43,7.98,28.58,-1.48,0 days 00:00:15.661000000,1,0
89,-0.16,-3.92,0.51,4.81,-0.37,1.18,0 days 00:00:15.876000000,1,0
90,-0.23,-3.93,0.44,6.05,-5.98,-7.16,0 days 00:00:16.091000000,1,0
91,-0.16,-3.97,0.42,2.69,-5.05,-9.02,0 days 00:00:16.319000000,0,0
92,-0.19,-3.99,0.4,2.81,-0.96,-2.06,0 days 00:00:16.340000000,0,0
93,-0.22,-4.0,0.44,2.44,-1.97,-8.99,0 days 00:00:16.565000000,0,0
94,-0.2,-4.0,0.4,3.57,-1.86,-3.16,0 days 00:00:16.794000000,0,0
95,-0.19,-4.02,0.43,4.37,-0.26,-5.31,0 days 00:00:17.029000000,0,0
96,-0.17,-4.02,0.42,3.18,0.2,-6.26,0 days 00:00:17.051000000,0,0
97,-0.15,-4.01,0.45,7.31,-2.11,-9.34,0 days 00:00:17.292000000,0,0
98,-0.12,-3.98,0.47,4.4,-2.73,-6.99,0 days 00:00:17.547000000,0,0
99,-0.06,-4.0,0.51,4.41,1.82,-5.34,0 days 00:00:17.568000000,0,0
100,-0.07,-4.0,0.51,4.84,-0.31,-4.08,0 days 00:00:17.823000000,0,0
101,-0.08,-4.02,0.45,-8.87,8.35,-5.92,0 days 00:00:18.089000000,1,0
102,-0.0,-3.97,0.44,6.24,-8.0,10.84,0 days 00:00:18.109000000,1,0
103,-0.28,-4.06,0.41,29.92,-4.08,82.03,0 days 00:00:18.383000000,1,0
104,-1.06,-3.84,0.7,97.33,8.49,121.19,0 days 00:00:18.667000000,1,0
105,-1.5,-3.67,1.42,127.56,41.63,-38.67,0 days 00:00:18.688000000,1,0
106,-1.3,-3.27,2.12,128.95,69.94,-158.44,0 days 00:00:18.974000000,1,0
107,-0.39,-3.16,2.71,15.33,6.34,-184.99,0 days 00:00:18.995000000,1,0
108,0.76,-3.27,2.47,-65.85,-5.57,-179.33,0 days 00:00:19.290000000,1,0
109,1.46,-3.2,1.82,-97.89,-85.91,-98.99,0 days 00:00:19.628000000,1,0
110,2.33,-3.26,0.56,-105.45,-143.79,-48.52,0 days 00:00:19.667000000,1,0
111,2.24,-3.53,-0.42,-58.69,-140.79,95.8,0 days 00:00:20.000000000,1,0
112,1.24,-3.87,-0.66,50.49,-48.15,171.92,0 days 00:00:20.026000000,1,0
113,0.16,-4.09,-0.17,74.64,-19.68,114.27,0 days 00:00:20.362000000,1,0
114,-0.28,-3.94,0.31,30.64,27.16,18.41,0 days 00:00:20.386000000,1,0
115,-0.19,-3.97,0.35,2.43,13.33,-17.44,0 days 00:00:20.735000000,0,0
116,-0.1,-3.98,0.41,7.34,-1.22,-10.85,0 days 00:00:20.760000000,0,0
117,-0.07,-4.02,0.39,6.02,-4.14,-0.96,0 days 00:00:21.112000000,0,0
118,-0.1,-3.99,0.43,3.4,1.39,-3.08,0 days 00:00:21.137000000,0,0
119,-0.08,-4.02,0.41,3.66,0.05,-3.37,0 days 00:00:21.159000000,0,0
120,-0.04,-4.03,0.42,5.57,-0.87,-1.74,0 days 00:00:21.532000000,0,0
121,-0.12,-4.06,0.42,1.5,-0.05,-3.56,0 days 00:00:21.555000000,0,0
122,-0.08,-4.01,0.42,3.47,-1.3,-3.27,0 days 00:00:21.925000000,0,0
123,-0.08,-4.03,0.4,2.58,-1.39,-4.26,0 days 00:00:21.947000000,0,0
124,-0.08,-4.0,0.4,3.34,-0.73,-4.23,0 days 00:00:22.333000000,0,0
125,-0.1,-4.0,0.43,3.13,-1.65,-1.01,0 days 00:00:22.356000000,0,0
126,-0.08,-3.99,0.43,3.68,-2.78,-3.11,0 days 00:00:22.749000000,0,0
127,-0.1,-3.99,0.41,4.09,-0.09,-0.46,0 days 00:00:22.773000000,0,0
128,-0.14,-4.01,0.45,4.47,-0.29,-1.59,0 days 00:00:22.795000000,0,0
129,-0.14,-4.02,0.42,2.96,-1.08,-2.96,0 days 00:00:23.206000000,0,0
130,-0.18,-3.99,0.44,3.98,-3.74,6.95,0 days 00:00:23.228000000,0,0
131,-0.14,-3.99,0.44,5.04,-5.02,4.67,0 days 00:00:23.251000000,0,0
132,-0.27,-3.99,0.44,26.0,-14.2,73.18,0 days 00:00:23.677000000,1,0
133,-1.08,-4.14,0.59,72.98,28.08,86.49,0 days 00:00:23.700000000,1,0
134,-1.57,-3.89,0.94,139.73,83.39,-21.71,0 days 00:00:24.151000000,1,0
135,-1.49,-3.32,2.05,128.78,68.12,-135.62,0 days 00:00:24.177000000,1,0
136,-0.42,-3.4,2.46,22.35,-16.67,-253.89,0 days 00:00:24.203000000,1,0
137,1.43,-3.13,2.24,-39.54,-36.85,-182.67,0 days 00:00:24.709000000,1,0
138,1.9,-3.11,1.67,-94.08,-99.3,-78.5,0 days 00:00:24.731000000,1,0
139,2.69,-3.34,0.36,-68.89,-155.91,41.4,0 days 00:00:24.754000000,1,0
140,2.03,-3.74,-0.49,-52.69,-118.6,113.82,0 days 00:00:25.229000000,1,0
141,1.21,-3.87,-0.7,21.28,-17.57,112.44,0 days 00:00:25.251000000,1,0
142,0.34,-3.94,-0.31,34.03,19.19,39.89,0 days 00:00:25.274000000,1,0
143,0.16,-3.95,-0.05,39.34,4.78,8.95,0 days 00:00:25.764000000,1,0
144,0.12,-3.9,0.14,20.37,0.37,2.95,0 days 00:00:25.787000000,1,0
145,0.21,-3.99,0.11,7.76,5.56,-7.4,0 days 00:00:25.810000000,1,0
146,0.16,-3.94,0.23,16.93,5.3,0.9,0 days 00:00:26.319000000,0,0
147,0.2,-4.0,0.27,2.32,8.76,-6.9,0 days 00:00:26.342000000,0,0
148,0.29,-4.12,0.17,5.76,2.93,1.79,0 days 00:00:26.365000000,0,0
149,0.03,-3.93,0.27,7.01,9.42,2.63,0 days 00:00:26.905000000,0,0
150,-0.0,-3.95,0.23,-1.57,-0.73,-4.98,0 days 00:00:26.928000000,0,0
151,0.12,-3.99,0.24,2.06,4.99,-0.46,0 days 00:00:26.951000000,0,0
152,0.05,-4.08,0.21,4.9,-4.09,-2.87,0 days 00:00:27.518000000,0,0
153,0.11,-4.05,0.3,6.66,-5.53,-1.85,0 days 00:00:27.544000000,0,0
