,AccX,AccY,AccZ,GyoX,GyoY,GyoZ,time,isRightLean,isWalk
149,-0.07,-3.99,0.29,2.18,-3.11,-2.52,0 days 00:00:26.330000000,0,0
150,-0.04,-4.02,0.29,4.32,-0.44,-2.35,0 days 00:00:26.872000000,0,0
151,-0.02,-3.97,0.26,3.63,-0.52,-4.96,0 days 00:00:26.887000000,0,0
152,-0.04,-3.99,0.29,4.21,-0.44,-4.14,0 days 00:00:26.898000000,0,0
153,-0.02,-4.0,0.3,3.73,1.25,-3.27,0 days 00:00:26.909000000,0,0
154,-0.04,-3.99,0.27,3.97,-2.06,-4.21,0 days 00:00:27.529000000,0,0
155,-0.05,-4.01,0.28,4.63,-0.2,-2.31,0 days 00:00:27.541000000,0,0
156,-0.05,-3.99,0.26,3.86,-3.04,-3.74,0 days 00:00:27.552000000,0,0
157,-0.04,-4.01,0.29,3.44,-0.87,-3.08,0 days 00:00:28.165000000,0,0
158,-0.05,-4.02,0.29,4.11,0.98,-3.39,0 days 00:00:28.175000000,0,0
159,-0.04,-4.0,0.3,3.88,-1.94,-4.7,0 days 00:00:28.189000000,0,0
160,-0.06,-4.0,0.31,4.6,-0.79,-2.87,0 days 00:00:28.200000000,0,0
161,-0.02,-3.97,0.27,5.13,-0.78,-4.79,0 days 00:00:28.848000000,1,0
162,-0.05,-4.06,0.2,7.39,10.69,-5.95,0 days 00:00:28.860000000,1,0
163,0.1,-4.51,0.08,196.32,95.22,-20.92,0 days 00:00:28.871000000,1,0
164,-0.68,-2.09,3.2,120.6,36.44,15.56,0 days 00:00:28.883000000,1,0
165,-0.24,-3.19,2.42,-111.02,-69.39,-14.09,0 days 00:00:29.541000000,1,0
166,0.12,-4.04,0.84,-172.87,-82.67,6.27,0 days 00:00:29.555000000,1,0
167,0.21,-4.26,0.11,-77.57,-33.74,12.73,0 days 00:00:29.566000000,1,0
168,-0.09,-4.13,-0.11,-10.52,-12.27,-0.75,0 days 00:00:29.577000000,1,0
169,0.0,-3.99,-0.06,4.85,-0.02,-2.44,0 days 00:00:30.348000000,0,0
170,-0.06,-4.0,0.03,10.35,4.93,-2.03,0 days 00:00:30.361000000,0,0
171,-0.09,-3.98,0.1,9.95,4.64,-0.9,0 days 00:00:30.372000000,0,0
172,-0.07,-3.99,0.04,5.24,-2.03,-2.82,0 days 00:00:30.383000000,0,0
173,-0.1,-3.99,0.11,5.15,2.24,-2.89,0 days 00:00:31.103000000,0,0
174,-0.13,-3.95,0.05,5.89,2.29,-1.51,0 days 00:00:31.117000000,0,0
175,-0.13,-4.04,0.12,4.85,1.33,-1.21,0 days 00:00:31.129000000,0,0
