,AccX,AccY,AccZ,GyoX,GyoY,GyoZ,time,isRightLean,isWalk
101,-0.19,-3.99,0.08,-2.81,-41.73,-11.36,0 days 00:00:18.166000000,0,1
102,-0.23,-4.57,0.38,4.09,-51.65,4.81,0 days 00:00:18.554000000,1,1
103,-0.42,-3.96,0.62,-6.98,-56.46,-5.19,0 days 00:00:18.569000000,1,1
104,-0.2,-3.9,0.73,20.9,-38.63,-7.71,0 days 00:00:18.580000000,1,1
105,0.1,-4.52,0.8,144.73,100.85,-31.02,0 days 00:00:18.966000000,1,1
106,-0.72,-3.32,2.3,197.54,132.47,8.81,0 days 00:00:18.983000000,1,1
107,-0.89,-2.69,2.94,-25.47,-55.86,-12.63,0 days 00:00:19.521000000,1,1
108,-0.46,-3.48,1.49,-152.9,-88.55,16.69,0 days 00:00:19.535000000,1,1
109,-0.16,-3.94,0.64,-111.54,-88.99,16.0,0 days 00:00:19.550000000,1,1
110,-0.16,-4.27,0.34,-41.8,-83.21,-4.47,0 days 00:00:19.953000000,1,1
111,-0.44,-4.23,0.46,-31.86,-98.55,18.81,0 days 00:00:19.966000000,1,1
112,-0.37,-4.1,0.7,-0.05,-85.22,21.47,0 days 00:00:20.366000000,0,1
113,-0.35,-3.91,0.69,-9.27,-65.68,2.76,0 days 00:00:20.379000000,0,1
114,-0.49,-4.11,0.55,-12.44,-44.89,-4.12,0 days 00:00:20.390000000,0,1
115,-0.65,-4.27,0.13,-8.2,-35.53,-15.27,0 days 00:00:20.789000000,0,1
116,-0.67,-4.02,0.08,2.32,-61.74,-4.21,0 days 00:00:20.811000000,0,1
117,-0.17,-4.01,0.06,-8.92,-116.55,-8.44,0 days 00:00:21.244000000,0,1
118,-0.39,-4.04,0.04,-13.02,-123.66,10.9,0 days 00:00:21.264000000,0,1
119,-0.39,-4.05,0.22,-17.95,-152.67,-9.1,0 days 00:00:21.275000000,0,1
120,-0.59,-4.06,0.36,-19.71,-174.69,12.55,0 days 00:00:21.705000000,0,1
121,-0.52,-3.97,0.51,-14.95,-182.35,0.27,0 days 00:00:21.716000000,0,1
122,-0.3,-3.93,0.73,-9.11,-135.22,-0.24,0 days 00:00:22.170000000,0,1
123,-0.46,-3.81,0.73,-10.79,-86.92,-12.44,0 days 00:00:22.184000000,0,1
124,-0.51,-4.01,0.32,-4.52,-57.94,-28.27,0 days 00:00:22.204000000,0,1
125,-0.35,-3.98,0.03,5.47,-59.91,-34.46,0 days 00:00:22.656000000,1,1
126,-0.13,-3.97,0.04,17.66,-63.91,-11.56,0 days 00:00:22.673000000,1,1
127,0.03,-4.63,0.17,145.53,-45.62,-17.37,0 days 00:00:23.149000000,1,1
128,0.11,-3.19,2.22,182.08,7.11,1.77,0 days 00:00:23.162000000,1,1
129,-0.48,-3.01,3.08,31.39,-36.93,20.46,0 days 00:00:23.174000000,1,1
130,-0.21,-3.1,2.65,-133.22,-77.71,16.53,0 days 00:00:23.619000000,1,1
131,0.05,-3.68,1.29,-183.94,-89.11,10.96,0 days 00:00:23.633000000,1,1
132,0.11,-4.26,0.68,-72.55,-13.28,12.14,0 days 00:00:23.649000000,1,1
133,0.18,-4.08,0.49,8.2,34.09,-18.23,0 days 00:00:24.258000000,1,1
134,-0.08,-3.95,0.22,11.69,28.15,-4.03,0 days 00:00:24.272000000,1,1
135,-0.11,-3.79,0.44,50.87,47.13,-3.05,0 days 00:00:24.283000000,1,1
136,0.15,-3.89,0.39,2.27,-11.34,4.81,0 days 00:00:24.787000000,0,1
137,0.03,-3.88,0.35,-14.58,-41.5,-13.33,0 days 00:00:24.799000000,0,1
138,0.35,-4.28,0.53,-22.12,-52.26,0.81,0 days 00:00:24.812000000,0,1
139,0.05,-4.32,0.67,-3.21,-32.99,21.21,0 days 00:00:25.354000000,0,1
140,0.0,-3.85,0.57,6.37,-2.24,13.24,0 days 00:00:25.368000000,0,1
141,-0.3,-3.89,0.76,10.58,29.82,-0.96,0 days 00:00:25.380000000,0,1
142,0.2,-5.04,0.28,-16.5,24.27,-29.6,0 days 00:00:25.392000000,0,1
143,-0.08,-3.99,-0.02,9.13,39.59,-9.39,0 days 00:00:25.943000000,0,1
144,-0.15,-3.81,-0.01,7.21,0.17,24.08,0 days 00:00:25.956000000,0,1
145,-0.31,-3.92,0.07,-1.71,-26.14,3.85,0 days 00:00:25.968000000,0,1
146,-0.52,-4.28,0.28,7.19,-29.53,3.34,0 days 00:00:26.526000000,0,1
147,-0.58,-3.72,0.63,1.39,-32.75,-3.82,0 days 00:00:26.539000000,0,1
148,-0.52,-3.84,0.63,-2.82,-30.79,11.01,0 days 00:00:26.550000000,0,1
149,-0.31,-3.85,0.61,7.86,-5.56,9.53,0 days 00:00:27.220000000,0,1
150,-0.47,-3.92,0.71,2.79,23.39,-11.45,0 days 00:00:27.231000000,0,1
151,-0.33,-4.29,0.39,3.56,18.78,-19.19,0 days 00:00:27.246000000,0,1
