,AccX,AccY,AccZ,GyoX,GyoY,GyoZ,time,isLeft,isWalk
145,-0.87,-3.97,0.3,-23.42,-99.48,4.47,0 days 00:00:26.322000000,0,1
146,-0.84,-4.0,0.28,-9.39,-59.42,-1.16,0 days 00:00:26.333000000,0,1
147,-0.78,-4.1,0.2,11.77,-26.03,-10.32,0 days 00:00:26.343000000,0,1
148,-1.06,-3.99,0.17,26.82,-1.74,4.09,0 days 00:00:26.942000000,0,1
149,-0.86,-3.79,0.19,26.64,-15.15,-15.97,0 days 00:00:26.955000000,0,1
150,-0.77,-3.84,0.24,5.47,-10.72,11.45,0 days 00:00:26.966000000,0,1
151,-0.81,-3.85,0.22,-9.47,-20.82,-10.02,0 days 00:00:26.976000000,0,1
152,-1.04,-4.22,0.12,-19.69,-43.22,-17.92,0 days 00:00:27.632000000,1,1
153,-1.05,-3.62,0.37,-13.57,-24.98,-2.95,0 days 00:00:27.644000000,1,1
154,-0.62,-3.66,0.37,-8.53,-49.92,-20.44,0 days 00:00:27.655000000,1,1
155,-0.57,-3.63,0.5,-13.07,-26.35,-6.79,0 days 00:00:28.339000000,1,1
156,-1.47,-4.18,0.07,38.29,-235.86,-59.85,0 days 00:00:28.356000000,1,1
157,0.92,-3.51,0.54,48.35,-414.0,-53.51,0 days 00:00:28.377000000,1,1
158,0.45,-4.31,0.71,-7.66,170.24,29.71,0 days 00:00:28.402000000,1,1
159,-1.25,-3.87,-0.15,6.61,343.68,41.92,0 days 00:00:28.413000000,1,1
160,-1.38,-3.85,-0.03,-1.63,104.61,18.81,0 days 00:00:29.179000000,1,1
161,-0.83,-3.8,0.06,3.13,-6.56,6.9,0 days 00:00:29.191000000,1,1
162,-1.19,-3.7,0.36,-16.87,-15.98,-14.43,0 days 00:00:29.202000000,0,1
163,-0.93,-3.68,0.4,6.43,-18.82,-22.18,0 days 00:00:29.213000000,0,1
164,-0.88,-3.81,0.47,10.93,12.78,2.58,0 days 00:00:29.974000000,0,1
165,-0.77,-4.08,0.43,9.34,31.22,-14.56,0 days 00:00:29.986000000,0,1
166,-0.71,-4.26,0.0,2.92,9.71,-15.33,0 days 00:00:29.998000000,0,1
167,-0.79,-4.01,-0.03,16.46,31.18,20.49,0 days 00:00:30.009000000,0,1
168,-0.67,-3.85,0.01,8.02,8.98,6.63,0 days 00:00:30.020000000,0,1
169,-0.86,-3.76,-0.01,-3.71,-7.94,7.31,0 days 00:00:30.821000000,0,1
170,-1.02,-4.03,0.2,-4.32,-23.95,2.93,0 days 00:00:30.833000000,0,1
171,-1.26,-3.95,0.31,-22.44,-41.11,-1.25,0 days 00:00:30.844000000,0,1
172,-0.82,-3.67,0.35,-4.15,-8.14,-13.02,0 days 00:00:30.855000000,0,1
173,-1.03,-3.91,0.24,6.14,9.31,-3.94,0 days 00:00:31.706000000,0,1
174,-1.02,-4.08,0.23,10.63,9.77,-2.46,0 days 00:00:31.719000000,0,1
175,-1.11,-3.66,0.2,31.94,16.35,-19.91,0 days 00:00:31.731000000,0,1
176,-1.22,-3.81,-0.02,-2.49,19.95,17.97,0 days 00:00:31.743000000,0,1
177,-0.96,-3.64,0.04,-8.58,-20.34,-9.97,0 days 00:00:31.754000000,1,1
178,-0.82,-4.34,-0.1,0.32,-34.35,-14.44,0 days 00:00:32.676000000,1,1
179,-1.54,-3.66,0.36,10.72,-35.3,-23.5,0 days 00:00:32.690000000,1,1
180,-1.38,-3.95,0.36,27.02,-341.27,-43.59,0 days 00:00:32.702000000,1,1
181,0.52,-3.71,0.72,-3.51,-331.05,-10.29,0 days 00:00:32.714000000,1,1
182,1.21,-3.83,1.21,-18.34,37.01,20.46,0 days 00:00:32.725000000,1,1
