,AccX,AccY,AccZ,GyoX,GyoY,GyoZ,time,isDown,isWalk
183,-0.67,-3.68,0.18,9.77,14.87,-15.21,0 days 00:00:32.771000000,0,1
184,-0.93,-3.91,0.01,7.3,20.49,15.47,0 days 00:00:33.723000000,0,1
185,-0.64,-3.78,0.03,-7.45,-19.02,14.96,0 days 00:00:33.737000000,0,1
186,-0.56,-3.99,-0.02,-0.47,-35.31,-1.97,0 days 00:00:33.752000000,0,1
187,-0.83,-4.02,0.2,12.09,-29.34,-9.22,0 days 00:00:33.766000000,0,1
188,-0.76,-3.89,0.56,3.54,-16.34,-12.66,0 days 00:00:33.778000000,0,1
189,-0.67,-3.68,0.58,-1.54,-12.46,-13.36,0 days 00:00:33.790000000,0,1
190,-0.62,-3.97,0.63,11.51,28.38,-11.74,0 days 00:00:34.810000000,1,1
191,-0.32,-3.97,0.52,27.25,45.42,5.39,0 days 00:00:34.823000000,1,1
192,-1.25,-2.83,0.29,4.67,54.37,309.34,0 days 00:00:34.837000000,1,1
193,-3.53,-3.01,-0.0,7.73,-3.13,-28.38,0 days 00:00:34.852000000,1,1
194,-1.79,-3.23,0.05,-31.44,-55.51,-172.0,0 days 00:00:34.864000000,1,1
195,-1.02,-3.78,-0.08,-40.98,-120.29,-77.56,0 days 00:00:34.876000000,1,1
196,-1.03,-3.79,0.17,-37.27,-133.33,-33.53,0 days 00:00:36.051000000,1,1
197,-1.04,-3.84,0.45,-49.33,-137.86,-12.73,0 days 00:00:36.064000000,1,1
198,-0.54,-3.89,0.45,-22.95,-130.5,-13.15,0 days 00:00:36.076000000,1,1
199,-0.94,-3.91,0.52,-7.25,-64.18,-4.95,0 days 00:00:36.090000000,1,1
200,-1.08,-3.77,0.19,-22.4,-75.48,-19.86,0 days 00:00:36.102000000,0,1
201,-1.02,-3.9,-0.19,-13.68,-76.67,-22.9,0 days 00:00:36.115000000,0,1
202,-0.74,-3.83,-0.09,-16.06,-99.68,-13.24,0 days 00:00:37.254000000,0,1
203,-1.09,-3.84,-0.2,-25.85,-130.4,0.96,0 days 00:00:37.272000000,0,1
204,-0.78,-4.01,-0.04,-32.81,-153.92,-18.12,0 days 00:00:37.288000000,0,1
205,-0.94,-3.94,0.44,-37.08,-138.08,1.11,0 days 00:00:37.304000000,0,1
206,-1.01,-3.94,0.29,-45.45,-160.53,0.55,0 days 00:00:37.321000000,0,1
207,-1.02,-3.86,0.5,-21.07,-110.44,-4.35,0 days 00:00:37.337000000,0,1
