,AccX,AccY,AccZ,GyoX,GyoY,GyoZ,time,isLeftLean,isWalk
168,-0.28,-3.98,0.37,4.93,-0.11,-2.11,0 days 00:00:35.022000000,0,0
169,-0.24,-3.99,0.43,4.31,0.12,-3.6,0 days 00:00:35.063000000,0,0
170,-0.27,-3.97,0.41,0.53,-4.18,-0.55,0 days 00:00:35.102000000,0,0
171,-0.25,-3.98,0.39,1.27,-3.45,-2.31,0 days 00:00:35.141000000,0,0
172,-0.23,-3.99,0.37,0.18,-2.24,-2.15,0 days 00:00:35.182000000,0,0
173,-0.28,-3.95,0.36,2.75,-1.68,-1.07,0 days 00:00:35.225000000,0,0
174,-0.27,-3.98,0.36,1.04,-4.47,-2.38,0 days 00:00:36.264000000,0,0
175,-0.27,-3.97,0.34,2.61,-0.82,-4.66,0 days 00:00:36.305000000,0,0
176,-0.25,-3.99,0.38,3.42,-2.53,-3.37,0 days 00:00:36.347000000,0,0
177,-0.28,-3.96,0.32,2.67,-2.93,-4.14,0 days 00:00:36.386000000,0,0
178,-0.26,-3.95,0.38,3.27,-1.85,-1.85,0 days 00:00:36.426000000,0,0
179,-0.27,-3.97,0.34,1.56,-3.62,-4.38,0 days 00:00:36.467000000,0,0
180,-0.28,-3.98,0.29,3.07,-0.85,-4.56,0 days 00:00:36.509000000,0,0
181,-0.27,-3.96,0.34,1.51,-2.03,-2.49,0 days 00:00:37.627000000,0,0
182,-0.26,-3.97,0.32,-2.15,-1.36,-3.51,0 days 00:00:37.670000000,0,0
183,-0.24,-4.0,0.32,-5.21,-4.44,-7.16,0 days 00:00:37.717000000,0,0
184,-0.18,-3.78,0.15,-55.21,1.53,-18.85,0 days 00:00:37.762000000,1,0
185,-0.1,-3.75,-0.35,-98.67,3.83,-22.0,0 days 00:00:37.809000000,1,0
186,-0.08,-3.95,-1.46,-115.44,-28.96,-24.46,0 days 00:00:37.897000000,1,0
187,0.0,-3.57,-1.91,-58.9,-40.35,-5.24,0 days 00:00:37.960000000,1,0
188,0.05,-3.29,-2.15,5.59,-4.08,8.29,0 days 00:00:38.007000000,1,0
189,0.18,-3.65,-1.87,113.34,32.14,11.18,0 days 00:00:38.051000000,1,0
190,-0.04,-3.72,-0.95,138.34,33.08,17.68,0 days 00:00:39.285000000,1,0
191,-0.21,-3.73,-0.2,107.3,23.82,3.98,0 days 00:00:39.327000000,1,0
192,-0.14,-3.92,0.32,46.98,-0.73,0.4,0 days 00:00:39.369000000,1,0
193,-0.16,-3.94,0.4,12.26,-5.56,-2.72,0 days 00:00:39.410000000,1,0
194,-0.2,-4.03,0.39,5.5,-4.17,1.63,0 days 00:00:39.454000000,0,0
195,-0.19,-3.99,0.42,4.75,-0.53,-1.31,0 days 00:00:39.496000000,0,0
196,-0.25,-4.03,0.37,7.22,-7.19,-7.4,0 days 00:00:39.538000000,0,0
197,-0.23,-3.98,0.43,4.0,-4.89,-1.82,0 days 00:00:39.581000000,0,0
198,-0.2,-4.01,0.43,3.24,2.23,-0.61,0 days 00:00:40.942000000,0,0
199,-0.23,-3.99,0.44,3.85,-3.95,-2.06,0 days 00:00:40.991000000,0,0
