,AccX,AccY,AccZ,GyoX,GyoY,GyoZ,time,isLeftRoll,isWalk
171,-0.75,-3.97,0.6,-86.34,-77.91,-7.18,0 days 00:00:30.933000000,1,0
172,-0.42,-4.06,0.16,-38.89,-42.67,-34.49,0 days 00:00:31.001000000,1,0
173,-0.26,-4.0,0.08,-2.56,-10.89,-14.43,0 days 00:00:31.070000000,1,0
174,-0.34,-3.94,0.17,11.69,4.26,-1.68,0 days 00:00:31.136000000,0,0
175,-0.46,-4.01,0.19,3.68,-0.7,0.27,0 days 00:00:31.203000000,0,0
176,-0.41,-4.0,0.22,5.44,-1.3,0.0,0 days 00:00:32.095000000,0,0
177,-0.46,-4.0,0.24,5.34,2.49,-1.16,0 days 00:00:32.162000000,0,0
178,-0.46,-3.9,0.32,12.75,4.06,-2.98,0 days 00:00:32.230000000,0,0
179,-0.43,-3.99,0.31,3.65,-3.01,-2.75,0 days 00:00:32.296000000,0,0
180,-0.47,-3.95,0.31,4.53,-1.19,0.98,0 days 00:00:32.364000000,0,0
181,-0.49,-3.98,0.28,4.29,1.22,-2.43,0 days 00:00:32.435000000,0,0
182,-0.49,-3.97,0.28,2.96,-0.96,-2.32,0 days 00:00:32.503000000,0,0
183,-0.52,-3.96,0.28,0.64,0.18,-4.96,0 days 00:00:33.487000000,0,0
184,-0.42,-3.98,0.28,3.44,0.81,-1.59,0 days 00:00:33.555000000,1,0
185,-0.49,-4.0,0.24,2.41,-0.61,-4.0,0 days 00:00:33.622000000,1,0
186,-0.51,-3.99,0.24,3.63,0.23,-4.38,0 days 00:00:33.690000000,1,0
187,-0.44,-3.92,0.27,3.45,-0.82,-4.47,0 days 00:00:33.756000000,1,0
188,-0.39,-3.75,0.3,-19.62,5.15,27.54,0 days 00:00:33.824000000,1,0
189,-1.28,-3.61,0.04,-83.08,-30.87,76.64,0 days 00:00:33.894000000,1,0
190,-1.58,-3.57,-0.75,-154.96,-92.24,-57.86,0 days 00:00:33.961000000,1,0
191,-0.71,-3.52,-1.64,-117.83,-63.05,-173.62,0 days 00:00:35.092000000,1,0
192,0.55,-3.47,-2.15,-29.6,35.83,-270.43,0 days 00:00:35.169000000,1,0
193,2.18,-2.97,-1.92,49.83,145.69,-222.08,0 days 00:00:35.238000000,1,0
194,3.41,-2.01,-0.85,68.5,191.74,-62.89,0 days 00:00:35.308000000,1,0
195,2.98,-2.04,0.65,76.67,218.73,111.24,0 days 00:00:35.376000000,1,0
196,1.96,-2.75,1.81,-6.02,102.66,234.96,0 days 00:00:35.442000000,1,0
197,1.15,-3.44,1.68,-51.68,-91.07,68.75,0 days 00:00:35.511000000,1,0
198,0.56,-4.02,0.8,-86.31,-64.84,100.06,0 days 00:00:35.580000000,1,0
199,0.01,-4.28,0.29,-32.37,-42.4,19.44,0 days 00:00:35.651000000,1,0
200,-0.06,-4.03,0.26,4.96,-8.98,21.4,0 days 00:00:35.723000000,1,0
201,-0.19,-4.0,0.28,7.91,8.08,-0.09,0 days 00:00:36.904000000,1,0
202,-0.22,-3.96,0.34,5.62,8.38,-6.9,0 days 00:00:36.974000000,1,0
203,-0.19,-4.0,0.37,4.26,2.95,-4.34,0 days 00:00:37.044000000,0,0
204,-0.22,-3.98,0.36,4.46,-4.12,-2.46,0 days 00:00:37.114000000,0,0
205,-0.1,-3.97,0.39,2.61,-1.59,-4.85,0 days 00:00:37.190000000,0,0
206,-0.14,-4.01,0.38,2.98,0.14,-6.63,0 days 00:00:37.262000000,0,0
207,-0.12,-4.0,0.41,7.02,3.01,-4.75,0 days 00:00:37.334000000,0,0
208,-0.15,-4.0,0.43,3.36,-0.76,-1.54,0 days 00:00:37.404000000,0,0
209,-0.16,-3.98,0.38,2.11,-1.89,-2.66,0 days 00:00:37.477000000,0,0
