,AccX,AccY,AccZ,GyoX,GyoY,GyoZ,time,isUp,isWalk
82,0.76,-3.81,0.41,-18.18,-6.02,212.06,0 days 00:00:15.374000000,1,0
83,-0.08,-4.07,0.33,4.61,-9.16,8.31,0 days 00:00:15.625000000,1,0
84,-0.2,-3.98,0.39,5.3,2.81,-3.91,0 days 00:00:15.859000000,1,0
85,-0.23,-4.02,0.35,6.61,-3.3,-0.93,0 days 00:00:16.090000000,0,0
86,-0.19,-3.97,0.37,4.53,1.66,-3.66,0 days 00:00:16.102000000,0,0
87,-0.12,-3.97,0.4,3.92,-1.56,-3.07,0 days 00:00:16.337000000,0,0
88,-0.14,-4.0,0.43,2.41,-1.48,-2.31,0 days 00:00:16.578000000,0,0
89,-0.14,-4.0,0.36,2.89,-1.1,-2.61,0 days 00:00:16.828000000,0,0
90,-0.2,-4.06,0.38,-0.18,-4.6,2.02,0 days 00:00:16.839000000,0,0
91,-0.18,-4.02,0.35,2.73,-1.83,-1.85,0 days 00:00:17.095000000,0,0
92,-0.2,-4.01,0.33,5.01,-0.18,0.4,0 days 00:00:17.358000000,0,0
93,-0.27,-4.0,0.31,1.5,-0.08,-1.25,0 days 00:00:17.370000000,0,0
94,-0.26,-4.0,0.37,2.24,0.79,-1.88,0 days 00:00:17.637000000,0,0
95,-0.24,-4.02,0.35,3.71,-0.43,-6.32,0 days 00:00:17.914000000,0,0
96,-0.22,-4.03,0.36,3.71,1.76,-2.4,0 days 00:00:17.924000000,0,0
97,-0.2,-4.0,0.36,3.4,-0.53,-7.36,0 days 00:00:18.212000000,0,0
98,-0.21,-4.02,0.37,3.3,-0.89,-2.69,0 days 00:00:18.223000000,0,0
99,-0.18,-3.99,0.35,3.92,1.04,-4.43,0 days 00:00:18.517000000,0,0
100,-0.16,-3.95,0.38,3.02,-0.85,-6.23,0 days 00:00:18.819000000,0,0
101,-0.2,-4.02,0.37,2.79,-0.75,-3.24,0 days 00:00:18.829000000,0,0
102,-0.17,-3.99,0.38,4.78,0.21,-4.89,0 days 00:00:19.143000000,0,0
103,-0.19,-3.98,0.36,4.75,0.35,-7.28,0 days 00:00:19.155000000,0,0
104,-0.09,-4.08,0.37,20.81,-0.08,-128.08,0 days 00:00:19.474000000,1,0
105,1.49,-3.82,0.52,-5.53,9.54,-311.25,0 days 00:00:19.486000000,1,0
106,1.91,-3.69,0.39,-1.44,3.07,94.56,0 days 00:00:19.817000000,1,0
107,1.45,-3.66,0.22,-2.58,15.25,234.56,0 days 00:00:19.827000000,1,0
108,0.12,-4.11,0.36,-8.2,-7.36,14.69,0 days 00:00:20.186000000,1,0
109,0.27,-3.98,0.36,2.76,-1.85,1.22,0 days 00:00:20.597000000,1,0
110,0.09,-4.09,0.3,-5.33,0.03,-0.98,0 days 00:00:20.608000000,1,0
111,0.06,-3.99,0.31,-0.53,-4.93,2.44,0 days 00:00:20.620000000,0,0
112,0.2,-4.02,0.28,7.27,0.03,-3.92,0 days 00:00:21.009000000,0,0
113,0.12,-4.04,0.29,5.05,-1.54,0.52,0 days 00:00:21.022000000,0,0
114,0.12,-4.03,0.36,4.08,2.96,-4.66,0 days 00:00:21.032000000,0,0
115,-0.01,-3.98,0.29,-0.21,-2.23,-7.07,0 days 00:00:21.436000000,0,0
116,0.1,-4.01,0.28,3.27,-1.68,-0.06,0 days 00:00:21.446000000,0,0
117,0.11,-4.07,0.29,3.08,-1.89,0.0,0 days 00:00:21.861000000,0,0
118,0.05,-4.03,0.32,1.19,0.03,-4.05,0 days 00:00:21.873000000,0,0
119,0.1,-3.98,0.3,0.49,0.5,-0.56,0 days 00:00:22.306000000,0,0
120,0.02,-3.99,0.33,3.28,-0.67,-0.32,0 days 00:00:22.319000000,0,0
121,0.07,-4.02,0.33,3.42,0.93,-2.78,0 days 00:00:22.329000000,0,0
122,0.05,-4.04,0.31,2.85,4.23,-5.22,0 days 00:00:22.773000000,0,0
123,0.05,-4.01,0.29,2.81,-0.27,-2.7,0 days 00:00:22.785000000,0,0
124,0.04,-4.04,0.25,2.26,-3.73,-5.51,0 days 00:00:22.795000000,0,0
125,0.06,-4.01,0.27,3.65,0.0,-0.96,0 days 00:00:23.256000000,0,0
126,0.06,-4.04,0.27,6.2,-1.59,-1.82,0 days 00:00:23.266000000,0,0
127,0.07,-4.0,0.28,3.82,-1.5,-2.18,0 days 00:00:23.740000000,0,0
128,0.02,-4.01,0.29,3.04,-0.41,-1.73,0 days 00:00:23.752000000,0,0
129,0.05,-4.0,0.25,4.61,-0.38,-1.98,0 days 00:00:23.763000000,0,0
130,0.02,-4.0,0.32,3.73,-1.71,-4.44,0 days 00:00:24.258000000,1,0
131,-0.02,-4.01,0.34,-0.61,-7.8,-7.66,0 days 00:00:24.270000000,1,0
132,0.07,-4.01,0.28,5.01,-3.02,-15.19,0 days 00:00:24.281000000,1,0
133,0.31,-4.09,0.36,6.69,15.4,-166.2,0 days 00:00:24.793000000,1,0
134,1.44,-3.31,0.4,-18.75,5.85,-261.34,0 days 00:00:24.806000000,1,0
135,2.28,-3.34,0.08,5.05,1.31,59.24,0 days 00:00:24.818000000,1,0
136,1.41,-3.73,0.14,17.86,18.69,267.11,0 days 00:00:25.434000000,1,0
137,0.06,-3.92,0.38,13.36,-9.97,71.36,0 days 00:00:25.446000000,1,0
138,-0.1,-4.01,0.38,2.06,-2.76,-0.43,0 days 00:00:25.457000000,1,0
139,-0.12,-4.01,0.32,0.67,-3.01,-1.39,0 days 00:00:25.467000000,1,0
140,-0.13,-3.99,0.34,2.29,0.44,-2.44,0 days 00:00:26.031000000,0,0
141,-0.08,-4.01,0.35,2.35,-0.11,-5.56,0 days 00:00:26.043000000,0,0
142,-0.05,-4.0,0.35,3.63,-0.09,-4.52,0 days 00:00:26.054000000,0,0
143,-0.05,-4.03,0.35,4.14,-1.48,-2.87,0 days 00:00:26.658000000,0,0
