,AccX,AccY,AccZ,GyoX,GyoY,GyoZ,time,isRight,isWalk
134,-0.31,-4.0,0.43,2.73,-6.67,0.61,0 days 00:00:28.525000000,1,0
135,-0.3,-3.97,0.39,1.63,-2.58,-3.1,0 days 00:00:28.536000000,0,0
136,-0.32,-3.97,0.43,2.6,2.95,-1.71,0 days 00:00:28.549000000,0,0
137,-0.32,-3.98,0.39,3.42,-0.17,-2.55,0 days 00:00:29.358000000,0,0
138,-0.34,-4.04,0.41,2.31,-1.16,-4.0,0 days 00:00:29.369000000,0,0
139,-0.32,-3.98,0.38,3.04,0.14,-2.53,0 days 00:00:29.382000000,0,0
140,-0.26,-4.02,0.43,5.31,9.73,-1.19,0 days 00:00:29.393000000,0,0
141,-0.46,-4.02,0.42,2.78,8.24,-0.82,0 days 00:00:29.404000000,0,0
142,-0.32,-3.97,0.45,3.53,3.45,-2.5,0 days 00:00:30.264000000,0,0
143,-0.4,-4.01,0.34,5.51,-3.51,-4.03,0 days 00:00:30.276000000,0,0
144,-0.35,-3.98,0.41,10.98,5.02,-6.49,0 days 00:00:30.288000000,0,0
145,-0.35,-3.95,0.45,-0.67,-2.37,-4.05,0 days 00:00:30.300000000,0,0
146,-0.45,-4.04,0.33,1.74,5.34,-0.87,0 days 00:00:30.312000000,0,0
147,-0.33,-3.98,0.37,5.02,11.8,-8.26,0 days 00:00:31.228000000,0,0
148,-0.29,-3.95,0.38,4.52,-7.66,-2.37,0 days 00:00:31.239000000,0,0
149,-0.31,-3.98,0.44,4.67,3.15,-3.65,0 days 00:00:31.252000000,0,0
150,-0.34,-4.0,0.41,3.53,-3.68,-1.56,0 days 00:00:31.265000000,0,0
151,-0.38,-4.02,0.45,2.84,-1.89,-5.92,0 days 00:00:31.277000000,0,0
152,-0.31,-3.99,0.41,0.67,0.72,-3.54,0 days 00:00:31.290000000,0,0
153,-0.36,-3.96,0.39,3.54,-2.67,-1.21,0 days 00:00:32.263000000,1,0
154,-0.37,-3.97,0.41,3.1,-3.66,-3.45,0 days 00:00:32.275000000,1,0
155,-0.35,-3.96,0.41,2.95,0.32,-1.53,0 days 00:00:32.288000000,1,0
156,-0.16,-3.95,0.38,13.16,18.17,-4.27,0 days 00:00:32.300000000,1,0
157,0.83,-3.85,0.08,-30.09,261.69,-9.18,0 days 00:00:32.313000000,1,0
158,-1.7,-4.13,-0.77,-26.24,277.56,30.46,0 days 00:00:32.326000000,1,0
159,-1.0,-3.99,-0.31,54.32,-246.43,-8.32,0 days 00:00:33.456000000,1,0
160,0.28,-3.53,0.68,61.89,-216.38,2.78,0 days 00:00:33.471000000,1,0
161,-0.1,-4.01,0.79,-28.87,-70.24,6.89,0 days 00:00:33.483000000,1,0
162,-0.3,-4.01,0.66,-8.85,-15.01,5.42,0 days 00:00:33.495000000,1,0
163,-0.42,-4.06,0.66,-0.84,-15.15,2.56,0 days 00:00:33.507000000,0,0
164,-0.42,-3.93,0.62,1.3,-0.64,3.85,0 days 00:00:33.519000000,0,0
165,-0.47,-3.94,0.61,-0.72,-2.18,0.99,0 days 00:00:34.646000000,0,0
166,-0.52,-3.96,0.56,0.63,-0.85,6.08,0 days 00:00:34.658000000,0,0
167,-0.53,-3.96,0.53,1.92,-2.08,-0.4,0 days 00:00:34.671000000,0,0
168,-0.54,-3.94,0.53,1.21,0.32,-4.18,0 days 00:00:34.683000000,0,0
169,-0.57,-3.96,0.56,1.94,3.18,-5.5,0 days 00:00:34.696000000,0,0
