,AccX,AccY,AccZ,GyoX,GyoY,GyoZ,time,isLeft,isWalk
111,-0.37,-3.98,0.42,5.42,-0.21,-4.08,0 days 00:00:20.632000000,0,0
112,-0.38,-3.97,0.43,4.05,0.32,-4.6,0 days 00:00:21.053000000,0,0
113,-0.39,-3.97,0.43,5.02,0.84,-1.6,0 days 00:00:21.064000000,0,0
114,-0.38,-3.96,0.44,5.21,-1.15,-3.37,0 days 00:00:21.504000000,0,0
115,-0.4,-3.97,0.44,4.29,-2.21,-3.44,0 days 00:00:21.515000000,0,0
116,-0.37,-3.96,0.46,2.92,-0.47,-2.81,0 days 00:00:21.527000000,0,0
117,-0.43,-3.95,0.46,3.95,-1.57,-4.06,0 days 00:00:22.008000000,0,0
118,-0.38,-4.0,0.45,3.51,-2.82,-2.72,0 days 00:00:22.020000000,0,0
119,-0.41,-3.98,0.47,4.53,-0.78,-3.37,0 days 00:00:22.033000000,0,0
120,-0.41,-3.96,0.43,2.73,-1.63,-3.28,0 days 00:00:22.529000000,0,0
121,-0.4,-3.97,0.44,2.85,-2.17,-3.28,0 days 00:00:22.546000000,0,0
122,-0.41,-3.97,0.46,4.27,-2.12,-3.18,0 days 00:00:22.559000000,0,0
123,-0.37,-3.96,0.46,3.51,-0.52,-5.33,0 days 00:00:23.079000000,1,0
124,-0.73,-3.99,0.38,3.34,-10.41,-4.49,0 days 00:00:23.093000000,1,0
125,-0.78,-3.87,-0.11,54.53,-449.25,-31.63,0 days 00:00:23.105000000,1,0
126,1.68,-3.69,1.12,-10.21,-143.05,7.57,0 days 00:00:23.635000000,1,0
127,0.8,-4.11,0.69,-0.78,209.65,12.03,0 days 00:00:23.648000000,1,0
128,-0.55,-3.95,0.11,-38.27,282.18,18.6,0 days 00:00:23.661000000,1,0
129,-0.82,-4.09,0.29,11.39,98.12,-8.0,0 days 00:00:24.299000000,1,0
130,-0.49,-3.87,0.33,1.85,2.15,-5.18,0 days 00:00:24.312000000,1,0
131,-0.39,-4.01,0.44,9.19,2.89,-5.05,0 days 00:00:24.342000000,0,0
132,-0.36,-4.03,0.4,7.74,-4.82,-4.78,0 days 00:00:24.355000000,0,0
133,-0.44,-3.98,0.43,4.75,0.34,-2.52,0 days 00:00:25.023000000,0,0
134,-0.39,-4.0,0.44,4.89,0.41,-6.06,0 days 00:00:25.036000000,0,0
135,-0.4,-4.02,0.45,5.44,-2.37,-1.62,0 days 00:00:25.048000000,0,0
136,-0.42,-3.98,0.43,3.69,-2.78,-4.17,0 days 00:00:25.062000000,0,0
137,-0.41,-3.97,0.48,2.7,-1.73,-4.41,0 days 00:00:25.697000000,0,0
138,-0.41,-3.96,0.46,3.89,0.31,-1.68,0 days 00:00:25.711000000,0,0
139,-0.42,-3.94,0.48,3.45,-1.94,-3.51,0 days 00:00:25.721000000,0,0
