,AccX,AccY,AccZ,GyoX,GyoY,GyoZ,time,isLeftLean,isWalk
126,0.05,-3.82,0.32,-22.46,-162.09,-80.92,0 days 00:00:22.515000000,1,1
127,0.18,-3.72,-0.46,-110.38,-238.26,-47.22,0 days 00:00:22.885000000,1,1
128,0.42,-4.04,-1.52,-60.27,-154.12,-13.34,0 days 00:00:22.897000000,1,1
129,0.24,-3.52,-1.51,16.73,-71.48,-19.04,0 days 00:00:23.279000000,1,1
130,0.46,-3.79,-1.27,75.44,-26.02,-25.95,0 days 00:00:23.291000000,1,1
131,-0.04,-3.77,-0.54,70.73,-28.44,-4.99,0 days 00:00:23.734000000,1,1
132,0.0,-3.75,0.01,37.98,-73.74,-1.68,0 days 00:00:23.751000000,1,1
133,-0.24,-4.06,0.11,13.08,-107.88,0.44,0 days 00:00:23.767000000,1,1
134,0.01,-3.95,0.35,17.76,-108.64,-10.4,0 days 00:00:24.204000000,1,1
135,0.08,-3.91,0.53,18.27,-63.65,-12.5,0 days 00:00:24.217000000,1,1
136,0.48,-4.35,0.42,22.15,-19.94,-42.03,0 days 00:00:24.642000000,0,1
137,0.13,-4.07,0.25,6.69,3.33,-10.9,0 days 00:00:24.654000000,0,1
138,0.26,-4.07,0.11,7.83,-1.27,-14.43,0 days 00:00:24.666000000,0,1
139,0.56,-3.96,0.14,4.37,-19.51,-17.48,0 days 00:00:25.102000000,0,1
140,0.37,-4.12,0.1,-2.47,-36.92,10.24,0 days 00:00:25.114000000,0,1
141,0.45,-4.04,0.2,11.24,-32.06,-12.14,0 days 00:00:25.127000000,0,1
142,0.33,-3.73,0.53,8.7,-31.36,2.49,0 days 00:00:25.576000000,0,1
143,0.33,-3.78,0.54,1.94,-14.49,15.45,0 days 00:00:25.586000000,0,1
144,0.27,-3.81,0.54,-3.36,3.31,-5.07,0 days 00:00:26.052000000,0,1
145,0.57,-4.06,0.37,-9.07,16.73,-32.6,0 days 00:00:26.064000000,0,1
146,0.14,-3.93,0.08,-0.26,41.94,0.08,0 days 00:00:26.075000000,0,1
147,0.3,-4.13,0.06,9.62,32.52,13.86,0 days 00:00:26.566000000,0,1
148,0.12,-3.9,0.23,6.21,6.89,15.13,0 days 00:00:26.577000000,0,1
149,0.29,-4.14,-0.03,-1.59,-42.31,-4.55,0 days 00:00:26.588000000,0,1
150,0.07,-4.3,0.34,17.79,-28.99,4.2,0 days 00:00:27.094000000,0,1
151,-0.11,-4.21,0.64,-6.7,-38.58,11.1,0 days 00:00:27.105000000,0,1
152,0.28,-3.87,0.56,-8.26,-16.24,-2.46,0 days 00:00:27.118000000,0,1
153,-0.03,-3.98,0.54,2.03,15.89,12.03,0 days 00:00:27.655000000,0,1
154,0.24,-4.8,0.38,-6.72,19.98,-7.57,0 days 00:00:27.667000000,0,1
155,-0.0,-3.99,-0.01,12.81,18.52,6.17,0 days 00:00:27.678000000,0,1
156,-0.24,-3.71,0.17,2.41,3.76,7.74,0 days 00:00:28.262000000,1,1
157,0.17,-3.41,0.14,-43.45,-89.53,-31.34,0 days 00:00:28.274000000,1,1
158,-0.41,-3.72,-0.64,-118.89,-143.05,-45.18,0 days 00:00:28.287000000,1,1
159,0.1,-3.55,-1.34,-110.2,-121.66,-11.91,0 days 00:00:28.990000000,1,1
160,0.49,-3.61,-1.82,-0.53,-59.08,0.61,0 days 00:00:29.002000000,1,1
161,0.43,-3.78,-1.3,99.82,79.33,15.02,0 days 00:00:29.015000000,1,1
162,-0.33,-3.77,-0.63,134.98,63.5,37.94,0 days 00:00:29.026000000,1,1
163,-0.25,-4.72,-0.08,75.85,64.14,14.43,0 days 00:00:29.679000000,1,1
164,-0.52,-3.92,-0.03,54.55,56.08,6.06,0 days 00:00:29.692000000,1,1
165,-0.28,-3.87,0.23,20.93,18.81,-3.01,0 days 00:00:29.704000000,0,1
166,-0.49,-3.73,0.25,-2.5,-16.85,-3.4,0 days 00:00:29.716000000,0,1
167,-0.2,-3.87,0.37,9.53,-20.31,-15.56,0 days 00:00:30.413000000,0,1
168,-0.31,-3.77,0.71,5.56,-34.0,-4.17,0 days 00:00:30.429000000,0,1
