,AccX,AccY,AccZ,GyoX,GyoY,GyoZ,time,isRight,isWalk
150,0.68,-3.84,0.09,-16.43,-292.75,16.27,0 days 00:00:27.324000000,1,1
151,-0.54,-4.12,0.15,-12.37,-110.24,21.28,0 days 00:00:27.424000000,1,1
152,-0.61,-3.8,0.45,-14.5,-63.62,14.87,0 days 00:00:27.527000000,1,1
153,-1.08,-3.95,0.33,-28.38,-86.67,8.53,0 days 00:00:27.627000000,1,1
154,-1.01,-3.74,0.35,-54.09,-127.92,-13.04,0 days 00:00:27.729000000,1,1
155,-1.22,-3.88,0.42,-60.7,-128.56,7.13,0 days 00:00:27.830000000,1,1
156,-0.86,-3.8,0.42,-43.15,-137.54,5.47,0 days 00:00:28.596000000,0,1
157,-1.09,-3.72,0.49,-19.19,-93.86,-5.89,0 days 00:00:28.699000000,0,1
158,-1.0,-4.02,0.55,-3.56,-29.31,-20.72,0 days 00:00:28.803000000,0,1
159,-1.04,-3.91,0.22,7.1,-25.74,-2.99,0 days 00:00:28.903000000,0,1
160,-1.08,-3.84,0.06,-10.92,-32.47,5.86,0 days 00:00:29.003000000,0,1
161,-0.87,-3.84,0.06,-14.02,-47.25,8.93,0 days 00:00:29.103000000,0,1
162,-1.09,-3.81,-0.04,-8.72,-56.03,-2.79,0 days 00:00:29.205000000,0,1
163,-0.92,-3.82,0.24,3.53,-61.63,-12.46,0 days 00:00:29.306000000,0,1
164,-1.05,-4.05,0.68,-4.72,-40.75,-0.31,0 days 00:00:29.408000000,0,1
165,-1.05,-3.64,0.62,-11.86,-20.41,-11.02,0 days 00:00:30.264000000,0,1
166,-0.82,-3.49,0.68,9.59,23.05,-47.69,0 days 00:00:30.368000000,1,1
167,-0.94,-4.42,0.34,20.96,42.7,-19.05,0 days 00:00:30.469000000,1,1
168,-0.8,-3.82,0.24,30.09,36.96,-10.55,0 days 00:00:30.571000000,1,1
169,-0.91,-3.75,0.35,7.18,4.85,-10.06,0 days 00:00:30.675000000,1,1
170,-0.49,-3.85,0.38,11.22,17.45,-11.16,0 days 00:00:30.775000000,1,1
171,0.18,-4.38,-0.66,-30.61,448.11,-36.0,0 days 00:00:30.878000000,1,1
172,-1.46,-4.3,-0.32,-2.5,87.8,30.89,0 days 00:00:30.986000000,1,1
173,-1.04,-3.65,-0.37,-10.55,-287.76,-0.76,0 days 00:00:31.099000000,1,1
174,-0.49,-3.85,0.25,3.97,-201.21,-9.33,0 days 00:00:31.209000000,1,1
175,-0.27,-4.53,0.52,10.64,-47.68,-13.91,0 days 00:00:32.314000000,1,1
176,-0.94,-3.83,0.19,4.53,-4.6,3.6,0 days 00:00:32.417000000,1,1
177,-0.91,-3.67,0.21,6.47,9.33,23.68,0 days 00:00:32.519000000,1,1
178,-0.77,-3.46,0.19,1.6,-8.38,-8.15,0 days 00:00:32.622000000,1,1
179,-0.95,-3.82,0.44,-8.7,-34.73,-21.53,0 days 00:00:32.727000000,0,1
180,-0.76,-3.83,0.77,-21.1,-39.6,-8.23,0 days 00:00:32.830000000,0,1
181,-0.8,-3.68,0.75,-8.84,-3.4,0.23,0 days 00:00:32.933000000,0,1
182,-0.98,-3.92,0.67,1.97,26.08,-1.59,0 days 00:00:33.036000000,0,1
183,-0.91,-4.28,0.18,-5.74,26.24,35.45,0 days 00:00:33.139000000,0,1
184,-1.03,-3.93,-0.1,11.47,18.18,11.63,0 days 00:00:33.243000000,0,1
185,-0.83,-3.73,0.1,11.05,-0.84,4.92,0 days 00:00:33.346000000,0,1
186,-1.03,-3.81,-0.03,-4.96,-29.4,-7.27,0 days 00:00:33.450000000,0,1
187,-1.08,-4.12,0.38,3.94,-39.18,-11.13,0 days 00:00:33.557000000,0,1
188,-1.09,-4.43,0.54,-1.3,-36.98,9.42,0 days 00:00:33.668000000,0,1
189,-0.68,-3.81,0.49,-2.35,-2.73,-11.77,0 days 00:00:34.785000000,0,1
190,-0.85,-3.85,0.5,14.7,35.74,-71.39,0 days 00:00:34.894000000,0,1
191,-0.4,-3.69,0.19,23.04,50.73,-43.08,0 days 00:00:35.004000000,0,1
192,-0.77,-3.88,0.15,36.96,-17.71,-13.31,0 days 00:00:35.115000000,0,1
193,-0.48,-3.86,0.36,-4.58,-16.43,-2.46,0 days 00:00:35.228000000,1,1
